Dates,Raw Turbulence,Turbulence,Recession
date,number,number,number
1996-10-28,3.5523293598114623,3.5523293598114623,0
1996-11-04,4.9246718047622196,3.6293530227704087,0
1996-11-11,3.340145412701641,3.6131210468776143,0
1996-11-18,4.113584085732541,3.641209878910755,0
1996-11-25,2.50493774093172,3.5774358241860402,0
1996-12-02,4.9325680858811,3.6534935537808866,0
1996-12-09,4.031034455116,3.6746832963590927,0
1996-12-16,5.6500159335364835,3.785550198302957,0
1996-12-23,2.3974941731882558,3.7076445998570775,0
1996-12-30,4.401196050294522,3.746570651703488,0
1997-01-06,7.33740316284034,3.948108594435964,0
1997-01-13,4.582437936886845,3.983710764767189,0
1997-01-20,4.17851634429473,3.994644361811613,0
1997-01-27,4.515416203832511,4.023873039381057,0
1997-02-03,4.408653145052939,4.045469087278302,0
1997-02-10,4.928000989698706,4.09500179688198,0
1997-02-17,4.2881392136719745,4.105841767146201,0
1997-02-24,4.160337491382939,4.108900377124897,0
1997-03-03,4.520264534274419,4.131988473183029,0
1997-03-10,4.142116051397461,4.132556890471184,0
1997-03-17,5.516339194453033,4.210222623381075,0
1997-03-24,5.6238215456899985,4.28956183448808,0
1997-03-31,4.816338089470208,4.319127513861916,0
1997-04-07,4.782000840063526,4.345106597436292,0
1997-04-14,5.80402907013871,4.426989623960838,0
1997-04-21,3.923370058898099,4.398723629724746,0
1997-04-28,5.620980413242535,4.467323631779144,0
1997-05-05,5.19768389474713,4.508315603528201,0
1997-05-12,4.246235139472788,4.493606157350391,0
1997-05-19,4.462912929763997,4.491883478856088,0
1997-05-26,4.7536217967660255,4.506573721846321,0
1997-06-02,4.921271921989967,4.529848943359048,0
1997-06-09,4.739382810312255,4.54160917565826,0
1997-06-16,5.130834640949158,4.57467985988316,0
1997-06-23,4.3435431970046,4.561707155814641,0
1997-06-30,5.705467524179547,4.625901492616561,0
1997-07-07,5.161460589920973,4.655960115052343,0
1997-07-14,5.880263029171476,4.724674957593084,0
1997-07-21,4.747556224520914,4.725959184426122,0
1997-07-28,3.675907975830854,4.667024338624294,0
1997-08-04,4.480189424890371,4.656538100675921,0
1997-08-11,5.020182869140221,4.676947913245686,0
1997-08-18,5.303143380682534,4.712093564251187,0
1997-08-25,6.048791323201561,4.787116644709117,0
1997-09-01,4.52489797615051,4.772399441708574,0
1997-09-08,5.331298794051843,4.8037680520005965,0
1997-09-15,3.8788923310479526,4.751858766478116,0
1997-09-22,3.8980424113324115,4.703937736701952,0
1997-09-29,3.8743699776841733,4.657377676049972,0
1997-10-06,4.262783412839299,4.635230801815411,0
1997-10-13,5.0849235129579355,4.660470114310318,0
1997-10-20,9.562564154797123,4.935603511631614,0
1997-10-27,9.403535972578585,5.186369291894035,0
1997-11-03,4.329338719822155,5.1382678619836994,0
1997-11-10,4.079587394299,5.07884869308443,0
1997-11-17,5.712752223033034,5.114426964396295,0
1997-11-24,4.615157202258977,5.086405105839091,0
1997-12-01,6.863060945541906,5.186121135970494,0
1997-12-08,5.795637014646467,5.220330633592605,0
1997-12-15,4.952331834181789,5.2052890167751915,0
1997-12-22,4.094461851005731,5.142943078604534,0
1997-12-29,3.871626671709396,5.071589571468505,0
1998-01-05,9.986196904118511,5.347425285913076,0
1998-01-12,5.254709725434488,5.342221561356113,0
1998-01-19,5.3988429757984955,5.345399477158627,0
1998-01-26,4.819054262484521,5.3158579902183405,0
1998-02-02,5.433958819655932,5.322486480443387,0
1998-02-09,4.7236387785907095,5.288875741577917,0
1998-02-16,3.3878852679739424,5.182181344661341,0
1998-02-23,3.9656757356412076,5.113904131228511,0
1998-03-02,6.697240102597041,5.202769950877368,0
1998-03-09,2.521362556745544,5.05227411790133,0
1998-03-16,5.292997590403327,5.065784888249155,0
1998-03-23,3.698471059271775,4.989043459817974,0
1998-03-30,5.2172839244773375,5.00185361277083,0
1998-04-05,5.1742031345016395,5.0115268481369535,0
1998-04-13,4.461258277063076,4.980642646375769,0
1998-04-20,4.448025189138756,4.9507491255106135,0
1998-04-27,4.553177254991209,4.928435131019287,0
1998-05-04,4.9775472688123585,4.931191583508594,0
1998-05-11,5.329244110715474,4.95353255518687,0
1998-05-18,4.646515176899463,4.936300993811825,0
1998-05-25,4.940021177274301,4.936509791665607,0
1998-06-01,4.556937856098171,4.915206055895144,0
1998-06-08,4.388927886003362,4.885668331889347,0
1998-06-15,3.8131684288546275,4.825473537682706,0
1998-06-22,4.4351364547349466,4.80356560061644,0
1998-06-28,3.8394379885767296,4.749453275728154,0
1998-07-06,6.968135520316735,4.873978341646611,0
1998-07-13,3.9355832800779638,4.821310273839966,0
1998-07-20,5.813959552842132,4.877023396889983,0
1998-07-27,4.475548493543777,4.854490341998627,0
1998-08-03,6.20592746123952,4.930340679183494,0
1998-08-10,6.4870014849000235,5.017709336825803,0
1998-08-17,7.259686156802808,5.143541826798724,0
1998-08-24,12.075609106685958,5.532608867419138,0
1998-08-31,8.64595714628896,5.707347679431973,0
1998-09-07,6.399155929468097,5.746175892957726,0
1998-09-14,5.732546811829104,5.7454109514118645,0
1998-09-21,5.8977139139509065,5.753959059864982,0
1998-09-28,12.206098227168608,6.116089805303264,0
1998-10-05,14.951761302233185,6.611997940987225,0
1998-10-12,12.056901421019926,6.917596891185898,0
1998-10-19,9.717861071894212,7.074763643000987,0
1998-10-26,7.1785944937219925,7.080591220862548,0
1998-11-02,7.690872838049688,7.114843696084904,0
1998-11-09,5.8525703317926885,7.043997735930413,0
1998-11-16,5.305578067034299,6.946427737165955,0
1998-11-23,4.265814298504234,6.795976465486377,0
